name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
E00024141,366,133,13.85,69.67,90.55,31.76,76.04,26.48,42.86,25.49,32.09,16.81,FALSE,TRUE,19.8,63.62,83.33,26.81,76.53,30.27,29.33,18.02,60.81,24.45,FALSE,TRUE,38.55,52.95,75.63,17.45,70.27,64.91,40.95,41.23,79.2,64.92,FALSE,FALSE,0,output_area
E00024142,269,114,2.09,66.7,67.58,51.65,77.25,4.62,6.15,8.9,15.93,4.73,TRUE,TRUE,7.77,60.97,59.19,49.49,77.75,7.99,5.58,5.9,25.94,11.55,TRUE,TRUE,19.83,49.74,46.37,38.72,71.5,37.32,18.26,31.22,53.11,38.13,FALSE,TRUE,269,output_area
E00024143,349,124,31.43,58.46,82.97,36.59,57.8,44.29,80.22,40.55,62.86,35.38,FALSE,FALSE,36.58,53.1,74.21,32.3,58.49,46.85,69.95,28.82,86.08,36.3,FALSE,FALSE,53.72,40.51,64.13,22.3,49.15,74.83,69.37,47.13,91.9,73.43,FALSE,FALSE,0,output_area
E00024144,263,120,5.71,73.52,51.21,73.19,82.64,8.79,21.81,12.75,14.07,6.15,TRUE,TRUE,12.53,67.4,44.41,70.89,83.96,12.41,14.92,7.84,24.63,14.67,FALSE,TRUE,28.2,57.11,32.34,60.87,78.66,44.1,29.66,33.89,52.24,47.33,FALSE,TRUE,0,output_area
E00024145,369,129,19.12,72.64,77.47,42.64,88.13,32.86,56.15,29.34,51.87,21.21,FALSE,TRUE,26.61,66.85,68.73,39.55,88.67,37.08,41.69,21.33,81.32,28.2,FALSE,TRUE,45.52,56.54,57.39,29.35,83.98,69.63,49.62,43.16,89.49,67.99,FALSE,FALSE,0,output_area
E00024146,299,126,14.51,79.45,74.4,53.96,96.7,4.95,13.19,7.25,14.51,4.07,FALSE,TRUE,20.46,74.12,64.97,51.93,96.41,8.35,11.15,4.97,24.91,10.38,FALSE,TRUE,39.29,65.43,52.9,41.07,93.7,38.01,26.01,29.98,52.45,35.89,FALSE,FALSE,0,output_area
E00024147,307,131,46.92,87.8,64.84,93.63,87.47,7.91,18.68,10.55,15.05,5.93,FALSE,FALSE,49.49,86,56.52,90.54,88.24,11.52,13.37,6.71,25.25,14.05,FALSE,FALSE,62.24,79.92,43.65,86.54,83.58,42.97,28.07,32.29,52.68,44.98,FALSE,FALSE,0,output_area
E00024148,357,121,12.31,64.51,87.25,32.75,70.99,25.05,50.77,13.63,27.25,17.58,FALSE,TRUE,18.56,59.19,78.64,27.52,71.33,28.81,36.02,8.42,52.21,24.87,FALSE,TRUE,36.97,47.66,69.81,18.16,64.06,63.79,45.68,34.37,74.3,65.25,FALSE,FALSE,0,output_area
E00024150,234,109,10,60.88,52.97,66.59,64.07,22.42,43.52,9.78,25.93,14.84,TRUE,TRUE,16.5,55.8,46.13,63.58,65.16,26.62,29.77,6.44,48.32,23.04,FALSE,TRUE,34.17,43.81,33.92,52.68,56.77,61.73,41.24,31.98,72.08,63.32,FALSE,FALSE,0,output_area
E00024151,298,114,13.63,45.27,73.19,38.35,35.05,26.26,46.7,12.64,38.68,15.93,FALSE,TRUE,19.72,40.54,64,34,36.54,30.19,32.76,7.83,73.54,23.8,FALSE,TRUE,38.46,26.81,51.83,23.79,25.22,64.85,43.37,33.86,85.91,64.19,FALSE,FALSE,0,output_area
E00024152,333,145,17.03,2.2,10.11,3.41,13.63,30,56.48,13.52,49.12,20,FALSE,TRUE,23.21,2.15,9.37,2.91,14.23,33.66,42.13,8.31,79.86,26.51,FALSE,TRUE,42.22,0.66,6.89,1.15,8.03,67.46,49.89,34.28,88.9,66.64,FALSE,FALSE,0,output_area
E00024153,314,109,36.04,47.36,78.13,26.37,44.18,48.68,83.52,42.86,68.24,40,FALSE,FALSE,39.66,41.79,69.03,21.46,44.53,49.94,76.03,30.14,88.52,38.63,FALSE,FALSE,55.88,28.09,57.74,13.02,33.47,76.15,74.01,47.77,93.16,74.69,FALSE,FALSE,0,output_area
E00024154,352,126,27.14,55.93,50.88,57.8,60.55,40.55,76.48,33.3,55.6,31.54,FALSE,TRUE,32.96,50.62,44.13,54.7,61.72,43.41,64.73,24.47,83.07,34.06,FALSE,FALSE,51.1,37.8,32.12,43.95,52.85,73.19,65.55,45.01,90.37,72.04,FALSE,FALSE,0,output_area
E00024155,298,116,26.92,17.36,17.36,27.03,26.59,40.33,78.13,29.12,57.8,31.98,FALSE,TRUE,32.9,15.78,16.33,21.86,28.4,43.34,67.15,21.08,83.76,34.32,FALSE,FALSE,51.06,6.63,11.37,13.38,17.96,73.17,67.17,43.06,90.77,72.2,FALSE,FALSE,0,output_area
E00024156,371,157,19.89,17.03,10.99,27.58,30,33.85,67.03,17.8,58.9,23.08,FALSE,TRUE,27.25,15.55,10.12,22.19,32.03,37.74,52.72,11.61,84.42,29.53,FALSE,TRUE,46.21,6.51,7.39,13.65,21.19,70.08,56.99,36.9,91.1,68.94,FALSE,FALSE,0,output_area
E00024157,396,120,20.99,54.73,76.59,28.13,61.43,34.84,63.85,28.24,49.89,24.18,FALSE,TRUE,28.13,48.83,67.35,22.53,62.53,38.6,48.95,19.8,80.29,30.25,FALSE,TRUE,46.97,35.64,55.78,13.95,53.84,70.57,54.49,42.3,89.09,69.49,FALSE,FALSE,0,output_area
E00024158,342,135,19.67,2.75,14.4,3.96,9.23,33.41,67.75,16.15,59.01,22.97,FALSE,TRUE,26.98,2.45,13.56,3.5,10.39,37.46,53.25,10.39,84.49,29.32,FALSE,TRUE,45.91,0.74,9.46,1.4,5.92,69.88,57.4,36.03,91.12,68.76,FALSE,FALSE,0,output_area
E00024159,252,119,14.73,71.21,22.64,98.13,66.04,27.69,49.01,16.81,32.64,19.89,FALSE,TRUE,20.59,65.19,21.15,94.5,67.13,31.07,34.63,10.83,62.75,26.27,FALSE,TRUE,39.48,54.72,14.61,93.27,59.13,65.56,44.65,36.39,80.28,66.47,FALSE,FALSE,0,output_area
E00024160,321,122,34.62,43.52,63.19,27.25,50.77,47.25,83.19,41.65,70.22,37.36,FALSE,FALSE,38.66,38.77,55.48,22.07,50.48,49,75.67,29.39,89.45,37.44,FALSE,FALSE,55.18,25.06,42.62,13.52,39.9,75.73,73.73,47.41,93.52,74,FALSE,FALSE,0,output_area
E00024161,342,154,40.99,48.57,54.95,46.37,51.1,52.75,89.67,44.07,71.32,46.81,FALSE,FALSE,44.21,43.24,47.56,43.05,50.88,54.08,86.08,30.72,90,42.71,FALSE,FALSE,58.95,29.58,35.05,32.64,40.31,77.98,83.35,48.04,93.76,76.77,FALSE,FALSE,0,output_area
E00024162,315,135,29.23,57.36,71.32,39.45,63.41,42.31,79.45,35.27,62.97,33.85,FALSE,TRUE,34.97,51.48,62.65,35.3,64.39,45.33,68.85,25.59,86.09,35.28,FALSE,FALSE,52.64,38.85,50.51,25.15,55.9,74.15,68.65,45.52,91.9,72.78,FALSE,FALSE,0,output_area
E00024163,276,119,19.78,10.11,20.11,32.53,3.63,33.52,67.91,16.04,60.77,22.75,FALSE,TRUE,27,10.13,18.16,27.34,3.62,37.49,53.28,10.38,85.29,29.05,FALSE,TRUE,45.91,3.84,12.54,17.99,2.26,69.88,57.4,36.02,91.53,68.61,FALSE,FALSE,0,output_area
E00024164,392,174,32.09,53.08,70.11,50.99,41.65,44.84,82.97,31.87,67.14,37.03,FALSE,FALSE,37.06,46.94,61.76,48.58,41.91,47.38,74.75,23.72,87.85,37.3,FALSE,FALSE,54.08,33.56,49.36,37.91,30.93,75.05,73.04,44.57,92.81,73.89,FALSE,FALSE,0,output_area
E00024165,184,111,41.76,35.27,4.62,71.1,21.43,53.63,90.11,48.46,72.25,46.7,FALSE,FALSE,44.87,31.33,4.25,69.09,22.83,54.75,86.25,32.86,90.31,42.62,FALSE,FALSE,59.3,17.81,3.57,58.81,13.69,78.19,83.5,48.86,93.93,76.73,FALSE,FALSE,0,output_area
E00024166,356,138,26.7,45.16,47.58,51.76,43.3,40.11,77.36,26.37,68.35,29.78,FALSE,TRUE,32.82,40.53,40.95,49.88,43.54,43.25,65.88,18.57,88.63,33.48,FALSE,FALSE,50.97,26.79,29.34,39.01,32.45,73.11,66.24,41.57,93.2,71.64,FALSE,FALSE,0,output_area
E00024167,321,132,26.37,56.59,22.09,81.32,55.38,39.89,73.41,32.97,54.4,31.65,FALSE,TRUE,32.51,50.93,20.29,79.17,55.72,42.98,61.81,24.08,82.28,34.11,FALSE,FALSE,50.76,38.15,14.02,70.05,45.72,72.98,63.35,44.79,89.98,72.07,FALSE,FALSE,0,output_area
E00024168,281,143,38.79,50.77,35.82,68.79,44.95,51.1,89.23,44.29,70,44.4,FALSE,FALSE,42.57,44.79,32.02,66.33,45.45,52.65,85.63,30.8,89.4,40.79,FALSE,FALSE,57.86,31.28,22.22,55.69,34.52,77.34,82.97,48.06,93.51,75.76,FALSE,FALSE,0,output_area
E00024169,219,130,41.54,43.63,45.71,64.18,26.26,53.41,89.45,41.1,80,46.48,FALSE,FALSE,44.78,38.94,39.15,61.64,28.08,54.67,85.9,29.19,93.27,42.42,FALSE,FALSE,59.22,25.17,27.75,50.84,17.77,78.14,83.18,47.32,95.63,76.66,FALSE,FALSE,0,output_area
E00024170,281,138,26.48,46.7,20.66,57.58,56.04,40,75.88,24.29,62.58,32.31,FALSE,TRUE,32.59,41.45,18.88,54.31,56.45,43.1,64.55,16.67,85.93,34.5,FALSE,FALSE,50.83,27.79,13.03,43.59,46.84,73.02,65.43,40.52,91.83,72.31,FALSE,FALSE,0,output_area
E00024297,275,110,23.63,30.99,46.59,11.21,44.07,37.25,43.08,43.52,38.46,34.84,FALSE,TRUE,30.29,27.24,39.88,9.45,44.52,40.79,29.58,30.52,73.49,35.81,FALSE,FALSE,48.98,14.39,28.48,4.37,33.46,71.86,41.09,47.93,85.88,73.09,FALSE,FALSE,0,output_area
E00024298,315,118,26.15,19.12,9.78,33.96,31.43,39.67,44.29,32.64,40.33,43.08,FALSE,TRUE,32.41,18.46,9.01,29.13,33.27,42.92,30.53,23.98,74.97,40.32,FALSE,FALSE,50.7,8.39,6.64,19.46,22.32,72.94,41.77,44.71,86.73,75.53,FALSE,FALSE,0,output_area
E00024299,261,121,18.9,69.23,44.95,72.75,78.46,32.75,32.09,36.59,36.59,28.79,FALSE,TRUE,26.53,63.16,38.71,70.62,80.04,37.02,21.44,26.29,71.19,32.65,FALSE,TRUE,45.46,52.39,27.46,60.6,74.16,69.6,34.8,45.85,84.61,71.13,FALSE,FALSE,0,output_area
