name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
E00024640,224,121,27,39,31,56,31,40,64,31,60,34,FALSE,TRUE,33,35,28,52,31,44,49,22,85,35,FALSE,FALSE,49,21,19,40,20,72,57,45,92,75,FALSE,FALSE,0,output_area
E00024141,366,133,15,73,92,38,79,28,41,28,31,20,FALSE,TRUE,21,67,84,34,80,32,28,19,64,27,FALSE,TRUE,38,56,76,22,74,65,41,44,81,69,FALSE,FALSE,0,output_area
E00024142,269,114,4,69,67,55,78,4,7,9,16,5,TRUE,TRUE,10,62,59,51,78,7,6,6,26,12,FALSE,TRUE,21,51,46,39,73,34,19,34,54,33,FALSE,TRUE,0,output_area
E00024143,349,124,33,57,83,39,53,46,80,42,65,37,FALSE,FALSE,37,51,74,35,52,48,69,29,87,37,FALSE,FALSE,53,38,64,23,42,74,71,48,93,76,FALSE,FALSE,0,output_area
E00024144,263,120,6,75,52,74,83,8,22,15,14,6,TRUE,TRUE,14,67,46,72,83,14,15,9,25,15,FALSE,TRUE,28,57,33,61,78,43,31,37,53,40,FALSE,TRUE,0,output_area
E00024145,369,129,23,72,79,46,83,36,58,31,54,25,FALSE,TRUE,29,66,71,42,84,40,43,22,83,30,FALSE,TRUE,46,55,59,31,79,70,53,45,91,72,FALSE,FALSE,0,output_area
E00024146,299,126,15,79,75,59,95,5,13,9,15,5,FALSE,TRUE,21,74,66,55,95,9,11,6,25,11,FALSE,TRUE,38,64,54,43,92,36,27,34,54,32,FALSE,FALSE,0,output_area
E00024147,307,131,34,86,64,93,84,7,19,10,15,6,FALSE,FALSE,38,82,56,90,85,13,14,7,25,15,FALSE,FALSE,53,74,43,85,79,42,29,35,54,39,FALSE,FALSE,0,output_area
E00024148,357,121,14,65,87,37,70,27,52,15,28,20,FALSE,TRUE,20,59,78,32,70,30,37,9,58,27,FALSE,TRUE,37,47,69,21,62,63,49,37,79,69,FALSE,FALSE,0,output_area
E00024150,234,109,12,63,54,70,62,25,46,10,28,18,FALSE,TRUE,19,57,47,66,62,29,32,7,55,25,FALSE,TRUE,35,45,35,55,53,62,45,35,77,68,FALSE,FALSE,0,output_area
E00024151,298,114,15,48,73,41,35,29,46,12,40,16,FALSE,TRUE,22,42,64,37,35,32,32,8,77,25,FALSE,TRUE,39,28,51,25,23,65,45,36,88,67,FALSE,FALSE,0,output_area
E00024152,333,145,18,3,9,3,17,33,58,15,49,21,FALSE,TRUE,25,3,9,2,16,36,43,9,81,27,FALSE,TRUE,42,1,6,1,9,67,53,37,90,70,FALSE,FALSE,0,output_area
